admin_project_code,admin_project_contact,bldg_use_type,bldg_use_subtype,bldg_project_status,site_country,bldg_year_permit,bldg_year_complete,bldg_year_complete_interval,bldg_QTO_type,bldg_area_definition,bldg_area_gfa,bldg_area_hfa,bldg_area_interval,bldg_users_total,bldg_floors_ag,bldg_floors_bg,bldg_struct_type,bldg_roof_type,bldg_energy_class_general,bldg_energy_class_country,bldg_certification,inv_energy_consumption,inv_mat_mass_total,inv_mat_1_type,inv_mat_1_mass,inv_mat_2_type,inv_mat_2_mass,inv_mat_3_type,inv_mat_3_mass,inv_mat_4_type,inv_mat_4_mass,inv_mat_5_type,inv_mat_5_mass,lca_RSP,lca_software,lca_database,lca_scenarios_decarbonisation,scope_parts_1_ground,scope_parts_2_structure,scope_parts_3_secondary,scope_parts_4_finishes,scope_parts_5_mechanical,scope_parts_6_electrical,scope_parts_6+_renewables,scope_parts_7_facilities,scope_parts_8_fittings,scope_LCS_A123,scope_LCS_A4,scope_LCS_A5,scope_LCS_B1,scope_LCS_B2,scope_LCS_B3,scope_LCS_B4,scope_LCS_B5,scope_LCS_B6,scope_LCS_B7,scope_LCS_B8,scope_LCS_C1,scope_LCS_C2,scope_LCS_C3,scope_LCS_C4,scope_LCS_D,scope_handling_D,GHG_sum_em,GHG_sum_op,GHG_sum_em_m2a,GHG_sum_op_m2a,GHG_A1,GHG_A2,GHG_A3,GHG_A4,GHG_A5,GHG_B1,GHG_B2,GHG_B3,GHG_B4,GHG_B5,GHG_B6,GHG_B7,GHG_C1,GHG_C2,GHG_C3,GHG_C4,GHG_D,GHG_A1_m2a,GHG_A2_m2a,GHG_A3_m2a,GHG_A4_m2a,GHG_A5_m2a,GHG_B1_m2a,GHG_B2_m2a,GHG_B3_m2a,GHG_B4_m2a,GHG_B5_m2a,GHG_B6_m2a,GHG_B7_m2a,GHG_C1_m2a,GHG_C2_m2a,GHG_C3_m2a,GHG_C4_m2a,GHG_D_m2a,GHG_A123,GHG_A45,GHG_A12345,GHG_B1234,GHG_B12345,GHG_B67,GHG_B1234567,GHG_C12,GHG_C34,GHG_C1234,GHG_C34_D,GHG_C1234_D,GHG_A123_m2a,GHG_A45_m2a,GHG_A12345_m2a,GHG_B1234_m2a,GHG_B12345_m2a,GHG_B67_m2a,GHG_B1234567_m2a,GHG_C12_m2a,GHG_C34_m2a,GHG_C1234_m2a,GHG_C34_D_m2a,GHG_C1234_D_m2a,GHG_P1_sum_m2a,GHG_P1_A123_m2a,GHG_P1_A45_m2a,GHG_P1_B1234_m2a,GHG_P1_B5_m2a,GHG_P1_C12_m2a,GHG_P1_C34_m2a,GHG_P1_D_m2a,GHG_P2_sum_m2a,GHG_P2_A123_m2a,GHG_P2_A45_m2a,GHG_P2_B1234_m2a,GHG_P2_B5_m2a,GHG_P2_C12_m2a,GHG_P2_C34_m2a,GHG_P2_D_m2a,GHG_P34_sum_m2a,GHG_P34_A123_m2a,GHG_P34_A45_m2a,GHG_P34_B1234_m2a,GHG_P34_B5_m2a,GHG_P34_C12_m2a,GHG_P34_C34_m2a,GHG_P34_D_m2a,GHG_P4_sum_m2a,GHG_P4_A123_m2a,GHG_P4_A45_m2a,GHG_P4_B1234_m2a,GHG_P4_B5_m2a,GHG_P4_C12_m2a,GHG_P4_C34_m2a,GHG_P4_D_m2a,GHG_P56_sum_m2a,GHG_P56_A123_m2a,GHG_P56_A45_m2a,GHG_P56_B1234_m2a,GHG_P56_B5_m2a,GHG_P56_C12_m2a,GHG_P56_C34_m2a,GHG_P56_D_m2a,GHG_P78_sum_m2a,GHG_P78_A123_m2a,GHG_P78_A45_m2a,GHG_P78_B1234_m2a,GHG_P78_B5_m2a,GHG_P78_C12_m2a,GHG_P78_C34_m2a,GHG_P78_D_m2a
CSTB1,CSTB,Residential,Single family house,New Built,France,n/a,n/a,2015-2019,n/a,France,96.0,n/a,0-5000,2.0,0,0,massive brick,Other,n/a,2,n/a,15.8,n/a,"Ceramics (e.g., fired clay bricks)",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,Other,INIES,No data,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,separately considered,54866.30999999999,n/a,11.430481249999998,1.1381,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.9548083333333334,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.416135416666667,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.193875,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.627508333333333,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.6573312500000004,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.5795770833333332,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CSTB2,CSTB,Residential,Single family house,New Built,France,n/a,n/a,2015-2019,n/a,France,93.0,n/a,0-5000,2.0,0,0,massive brick,Gable or saddle roof,n/a,2,n/a,16.5,n/a,"Ceramics (e.g., fired clay bricks)",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,Other,INIES,No data,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,separately considered,52183.59000000001,n/a,11.22227741935484,1.1851,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.8934602150537634,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.163152688172043,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.8411526881720431,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.0814043010752687,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.661574193548387,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.5802494623655914,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CSTB3,CSTB,Residential,Single family house,New Built,France,n/a,n/a,2015-2019,n/a,France,104.0,n/a,0-5000,2.0,0,0,massive brick,Gable or saddle roof,n/a,2,n/a,,n/a,"Ceramics (e.g., fired clay bricks)",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,Other,INIES,No data,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,separately considered,58153.76,n/a,11.183415384615385,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.9047673076923077,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.524634615384615,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.8200596153846155,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.6736442307692307,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.676540384615385,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.5826211538461539,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CSTB4,CSTB,Residential,Multi-family house,New Built,France,n/a,n/a,2015-2019,n/a,France,1106.0,n/a,0-5000,30.0,4,1,massive concrete,Flat roof,n/a,2,n/a,19.7,n/a,Concrete w/o reinforcement,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,Other,INIES,No data,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,separately considered,735664.02,n/a,13.303146835443037,1.3767,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.307717540687161,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.435185714285714,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.7710754068716095,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.3174207956600361,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.5608795660036168,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.6402198915009042,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CSTB5,CSTB,Residential,Multi-family house,New Built,France,n/a,n/a,2015-2019,n/a,France,1518.0,n/a,0-5000,40.0,4,1,massive concrete,Flat roof,n/a,2,n/a,18.8,n/a,Concrete w/o reinforcement,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,Other,INIES,No data,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,separately considered,992135.32,n/a,13.071611594202897,1.3004,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.284629907773386,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.448768115942029,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.7038562582345191,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.208164558629776,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.560168642951252,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.640042160737813,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CSTB6,CSTB,Residential,Single family house,New Built,France,n/a,n/a,2015-2019,n/a,France,89.0,n/a,0-5000,2.0,0,0,massive brick,Gable or saddle roof,n/a,2,n/a,38.6,n/a,Concrete w/o reinforcement,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,Other,INIES,No data,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,separately considered,50335.45999999999,n/a,11.311339325842695,7.6024,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.9572157303370785,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.4476269662921344,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.402676404494382,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.9464337078651683,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.679739325842697,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.5831280898876404,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CSTB7,CSTB,Residential,Single family house,New Built,France,n/a,n/a,2015-2019,n/a,France,101.0,n/a,0-5000,2.0,0,0,massive brick,Gable or saddle roof,n/a,2,n/a,40.1,n/a,Concrete w/o reinforcement,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,Other,INIES,No data,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,separately considered,50459.76000000001,n/a,9.99203168316832,8.0677,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.7198178217821782,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.035691089108911,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.9724415841584159,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.748710891089109,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.6618118811881186,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.5802871287128712,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CSTB8,CSTB,Residential,Single family house,New Built,France,n/a,n/a,2015-2019,n/a,France,166.0,n/a,0-5000,2.0,2,0,massive brick,Other,n/a,2,n/a,,n/a,"Stone (granite, limestone, etc)",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,Other,INIES,No data,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,separately considered,87318.25,n/a,10.520271084337349,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.6021506024096386,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.996002409638554,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.2134289156626505,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.3471831325301205,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.6606614457831324,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.5801048192771084,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CSTB9,CSTB,Residential,Single family house,New Built,France,n/a,n/a,2015-2019,n/a,France,96.0,n/a,0-5000,2.0,1,0,massive brick,Gable or saddle roof,n/a,2,n/a,,n/a,Concrete w/o reinforcement,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,Other,INIES,No data,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,separately considered,52128.75,n/a,10.86015625,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0927291666666668,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.3325479166666665,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0747250000000002,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.107427083333333,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.6699124999999997,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.5815708333333334,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CSTB10,CSTB,Residential,Single family house,New Built,France,n/a,n/a,2015-2019,n/a,France,121.0,n/a,0-5000,2.0,1,0,massive brick,Gable or saddle roof,n/a,2,n/a,,n/a,Concrete w/o reinforcement,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,Other,INIES,No data,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,separately considered,69597.9,n/a,11.50378512396694,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.2816314049586777,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.4949504132231404,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.3984859504132232,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.0947404958677684,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.65395041322314,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.5790413223140496,n/a,n/a,n/a,n/a,n/a,n/a,n/a
