site_country_code,admin_project_code,admin_data_partner,admin_project_contact,bldg_use_type,bldg_use_subtype,bldg_project_status,site_country,bldg_year_permit,bldg_year_complete,bldg_year_complete_interval,bldg_QTO_type,bldg_area_definition,bldg_area_gfa,bldg_area_hfa,bldg_area_interval,bldg_users_total,bldg_floors_ag,bldg_floors_bg,bldg_struct_type,bldg_roof_type,bldg_energy_class_general,bldg_energy_class_country,bldg_certification,inv_energy_consumption,inv_mat_mass_total,inv_mat_mass_total_m2,inv_mat_mass_total_capita,inv_mat_mass_sum_top_5,inv_mat_mass_ratio,inv_mat_1_type,inv_mat_1_mass,inv_mat_2_type,inv_mat_2_mass,inv_mat_3_type,inv_mat_3_mass,inv_mat_4_type,inv_mat_4_mass,inv_mat_5_type,inv_mat_5_mass,mass_aluminium,mass_bamboo,mass_brass_copper,mass_cement_mortar,mass_ceramics,mass_concrete_reinforced,mass_concrete_wo_reinforcement,mass_earth,mass_EPS_XPS,mass_fungi,mass_glass,mass_metals,mass_plastics,mass_steel_reinforcement,mass_stone,mass_stone_wool,mass_straw_hemp,mass_wood,mass_other,eurostat_metal_materials,eurostat_non-metallic_minerals,eurostat_fossil_energy_materials,eurostat_biomass_based_materials,lca_RSP,lca_software,lca_database,lca_scenarios_decarbonisation,scope_parts,scope_LCS,scope_LCM,scope_parts_1_ground,scope_parts_2_structure,scope_parts_3_secondary,scope_parts_4_finishes,scope_parts_5_mechanical,scope_parts_6_electrical,scope_parts_6+_renewables,scope_parts_7_facilities,scope_parts_8_fittings,scope_LCS_A123,scope_LCS_A4,scope_LCS_A5,scope_LCS_B1,scope_LCS_B2,scope_LCS_B3,scope_LCS_B4,scope_LCS_B5,scope_LCS_B6,scope_LCS_B7,scope_LCS_B8,scope_LCS_C1,scope_LCS_C2,scope_LCS_C3,scope_LCS_C4,scope_LCS_D,scope_handling_D,GHG_sum_em,GHG_sum_em_m2a,GHG_sum_em_capita_a,GHG_A_m2a,GHG_B_em_m2a,GHG_B_op_m2a,GHG_C_m2a,GHG_A_capita_a,GHG_B_em_capita_a,GHG_B_op_capita_a,GHG_C_capita_a,GHG_A1_m2a,GHG_A2_m2a,GHG_A3_m2a,GHG_A4_m2a,GHG_A5_m2a,GHG_B1_m2a,GHG_B2_m2a,GHG_B3_m2a,GHG_B4_m2a,GHG_B6_m2a,GHG_B7_m2a,GHG_C1_m2a,GHG_C2_m2a,GHG_C3_m2a,GHG_C4_m2a,GHG_A123_m2a,GHG_A45_m2a,GHG_B1234_m2a,GHG_B5_m2a,GHG_B67_m2a,GHG_C12_m2a,GHG_C34_m2a,GHG_D_m2a,GHG_A123_m2a_APEN,GHG_A45_m2a_APEN,GHG_B1234_m2a_APEN,GHG_B5_m2a_APEN,GHG_B67_m2a_APEN,GHG_C12_m2a_APEN,GHG_C34_m2a_APEN,GHG_D_m2a_APEN,GHG_sum_em_m2a_APEN,GHG_sum_op_m2a_APEN,GHG_A123_m2a_harm,GHG_A45_m2a_harm,GHG_B1234_m2a_harm,GHG_B5_m2a_harm,GHG_B67_m2a_harm,GHG_C12_m2a_harm,GHG_C34_m2a_harm,GHG_sum_em_m2a_harm,GHG_A123_m2a_harm_LCM,GHG_A45_m2a_harm_LCM,GHG_B1234_m2a_harm_LCM,GHG_B5_m2a_harm_LCM,GHG_C12_m2a_harm_LCM,GHG_C34_m2a_harm_LCM,GHG_P1_sum_m2a,GHG_P1_A123_m2a,GHG_P1_A45_m2a,GHG_P1_B1234_m2a,GHG_P1_B5_m2a,GHG_P1_C12_m2a,GHG_P1_C34_m2a,GHG_P1_D_m2a,GHG_P2_sum_m2a,GHG_P2_A123_m2a,GHG_P2_A45_m2a,GHG_P2_B1234_m2a,GHG_P2_B5_m2a,GHG_P2_C12_m2a,GHG_P2_C34_m2a,GHG_P2_D_m2a,GHG_P34_sum_m2a,GHG_P34_A123_m2a,GHG_P34_A45_m2a,GHG_P34_B1234_m2a,GHG_P34_B5_m2a,GHG_P34_C12_m2a,GHG_P34_C34_m2a,GHG_P34_D_m2a,GHG_P4_sum_m2a,GHG_P4_A123_m2a,GHG_P4_A45_m2a,GHG_P4_B1234_m2a,GHG_P4_B5_m2a,GHG_P4_C12_m2a,GHG_P4_C34_m2a,GHG_P4_D_m2a,GHG_P56_sum_m2a,GHG_P56_A123_m2a,GHG_P56_A45_m2a,GHG_P56_B1234_m2a,GHG_P56_B5_m2a,GHG_P56_C12_m2a,GHG_P56_C34_m2a,GHG_P56_D_m2a,GHG_P78_sum_m2a,GHG_P78_A123_m2a,GHG_P78_A45_m2a,GHG_P78_B1234_m2a,GHG_P78_B5_m2a,GHG_P78_C12_m2a,GHG_P78_C34_m2a,GHG_P78_D_m2a,GHG_sum_em_m2pertonGHG_a,GHG_sum_em_m2pertonGHG,GHG_sum_op_m2pertonGHG_a,GHG_sum_op_m2pertonGHG,GHG_sum_em_cappertonGHG_a,GHG_sum_em_cappertonGHG,GHG_sum_op_cappertonGHG_a,GHG_sum_op_cappertonGHG,ratio_A123_LCM,ratio_A45_LCM,ratio_B1234_LCM,ratio_B5_LCM,ratio_C12_LCM,ratio_C34_LCM,ratio_A123_parts,ratio_A45_parts,ratio_B1234_parts,ratio_B5_parts,ratio_C12_parts,ratio_C34_parts
DK,BUILD01,BUILD,BUILD,Non-residential,Other,New Built,Denmark,,,2015-2019,As-built measurement,Denmark (BR18),,,15001-20000,,,,No data,,New Standard,2015,No certification,,53200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,LCAbyg,Oekobau.dat,No,GLES,ABCD,PMOW,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,,8.09,,4.03,2.41,3.5,1.65,,,,,,,,,,,,,2.41,3.5,,,,1.55,0.1,4.03,,2.41,,3.5,,1.65,-1.17,,,,,,,,,,,4.03,,2.41,,3.5,,1.65,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.6093943,2.472187886,285.7142857,5.714285714,,,,,0.498145859,,0.29789864,,,0.203955501,0.498145859,,0.29789864,,,0.203955501
DK,BUILD02,BUILD,BUILD,Non-residential,Other,New Built,Denmark,,,2015-2019,As-built measurement,Denmark (BR18),,,15001-20000,,,,No data,,New Standard,2015,No certification,,24000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,LCAbyg,Oekobau.dat,No,GLEIS,ABCD,PMOW,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,,6.29,,1.73,1.91,3.5,2.65,,,,,,,,,,,,,1.91,3.5,,,,2.58,0.07,1.73,,1.91,,3.5,,2.65,-1.5,,,,,,,,,,,1.73,,1.91,,3.5,,2.65,6.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.9825119,3.179650238,285.7142857,5.714285714,,,,,0.275039746,,0.303656598,,,0.421303657,0.275039746,,0.303656598,,,0.421303657
DK,BUILD03,BUILD,BUILD,Non-residential,Other,New Built,Denmark,,,2015-2019,As-built measurement,Denmark (BR18),9819,9819,5001-10000,,,,No data,,New Advanced,2020,No certification,,12500000,1273.042061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,LCAbyg,Oekobau.dat,No,GLEIS,ABCD,PMOW,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,,9.8,,8.35,0.65,2.67,0.8,,,,,,,,,,,,,0.65,2.67,,,,0.58,0.22,8.35,,0.65,,2.67,,0.8,-3.85,,,,,,,,,,,8.35,,0.65,,2.67,,0.8,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0408163,2.040816327,374.5318352,7.490636704,,,,,0.852040816,,0.066326531,,,0.081632653,0.852040816,,0.066326531,,,0.081632653
DK,BUILD04,BUILD,BUILD,Non-residential,Other,New Built,Denmark,,,2015-2019,As-built measurement,Denmark (BR18),19518,19518,15001-20000,,,,No data,,New Standard,2015,No certification,,27800000,1424.326263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,LCAbyg,Oekobau.dat,No,GLEIS,ABCD,PMOW,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,,7.3,,6.18,0.7,2.69,0.42,,,,,,,,,,,,,0.7,2.69,,,,0.22,0.2,6.18,,0.7,,2.69,,0.42,-1.53,,,,,,,,,,,6.18,,0.7,,2.69,,0.42,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.9863014,2.739726027,371.7472119,7.434944238,,,,,0.846575342,,0.095890411,,,0.057534247,0.846575342,,0.095890411,,,0.057534247
DK,BUILD05,BUILD,BUILD,Residential,Multi-family house,New Built,Denmark,,,2015-2019,As-built measurement,Denmark (BR18),,,10001-15000,,,,No data,,New Standard,2015,DGNB,,19800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,LCAbyg,Oekobau.dat,No,GLEIS,ABCD,PMOW,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,,6.19,,4.9,0.39,2.09,0.9,,,,,,,,,,,,,0.39,2.09,,,,0.7,0.2,4.9,,0.39,,2.09,,0.9,-1.16,,,,,,,,,,,4.9,,0.39,,2.09,,0.9,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.5508885,3.231017771,478.4688995,9.56937799,,,,,0.791599354,,0.063004847,,,0.1453958,0.791599354,,0.063004847,,,0.1453958
DK,BUILD06,BUILD,BUILD,Residential,Multi-family house,New Built,Denmark,,,2015-2019,As-built measurement,Denmark (BR18),,,10001-15000,,,,No data,,New Advanced,2020,DGNB,,17400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,LCAbyg,Oekobau.dat,No,GLEIS,ABCD,PMOW,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,,6.65,,5.4,0.4,2.09,0.85,,,,,,,,,,,,,0.4,2.09,,,,0.35,0.5,5.4,,0.4,,2.09,,0.85,-1.21,,,,,,,,,,,5.4,,0.4,,2.09,,0.85,6.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.3759398,3.007518797,478.4688995,9.56937799,,,,,0.812030075,,0.060150376,,,0.127819549,0.812030075,,0.060150376,,,0.127819549
DK,BUILD07,BUILD,BUILD,Residential,Multi-family house,New Built,Denmark,,,2015-2019,As-built measurement,Denmark (BR18),,,10001-15000,,,,No data,,New Standard,2015,DGNB,,18200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,LCAbyg,Oekobau.dat,No,GLEIS,ABCD,PMOW,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,,6.26,,5.11,0.62,2.58,0.53,,,,,,,,,,,,,0.62,2.58,,,,0.36,0.17,5.11,,0.62,,2.58,,0.53,-0.75,,,,,,,,,,,5.11,,0.62,,2.58,,0.53,6.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.7444089,3.194888179,387.5968992,7.751937984,,,,,0.81629393,,0.099041534,,,0.084664537,0.81629393,,0.099041534,,,0.084664537
DK,BUILD08,BUILD,BUILD,Residential,Multi-family house,New Built,Denmark,,,2015-2019,As-built measurement,Denmark (BR18),,,10001-15000,,,,No data,,New Advanced,2020,DGNB,,21100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,LCAbyg,Oekobau.dat,No,GLEIS,ABCD,PMOW,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,,6.6,,5.35,0.64,2.38,0.61,,,,,,,,,,,,,0.64,2.38,,,,0.55,0.06,5.35,,0.64,,2.38,,0.61,-0.82,,,,,,,,,,,5.35,,0.64,,2.38,,0.61,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.5151515,3.03030303,420.1680672,8.403361345,,,,,0.810606061,,0.096969697,,,0.092424242,0.810606061,,0.096969697,,,0.092424242
DK,BUILD09,BUILD,BUILD,Residential,Multi-family house,New Built,Denmark,,,2015-2019,As-built measurement,Denmark (BR18),,,0-5000,,,,No data,,New Advanced,2020,DGNB,,5930000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,LCAbyg,Oekobau.dat,No,GLEIS,ABCD,PMOW,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,,7.34,,5.5,0.88,1.39,0.96,,,,,,,,,,,,,0.88,1.39,,,,0.68,0.28,5.5,,0.88,,1.39,,0.96,-0.69,,,,,,,,,,,5.5,,0.88,,1.39,,0.96,7.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.239782,2.72479564,719.4244604,14.38848921,,,,,0.749318801,,0.119891008,,,0.130790191,0.749318801,,0.119891008,,,0.130790191
DK,BUILD10,BUILD,BUILD,Residential,Multi-family house,New Built,Denmark,,,2015-2019,As-built measurement,Denmark (BR18),,,0-5000,,,,No data,,New Standard,2010,DGNB,,5010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,LCAbyg,Oekobau.dat,No,GLEIS,ABCD,PMOW,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,,7.68,,6.21,0.95,3.27,0.52,,,,,,,,,,,,,0.95,3.27,,,,0.45,0.07,6.21,,0.95,,3.27,,0.52,-1.35,,,,,,,,,,,6.21,,0.95,,3.27,,0.52,7.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.2083333,2.604166667,305.8103976,6.116207951,,,,,0.80859375,,0.123697917,,,0.067708333,0.80859375,,0.123697917,,,0.067708333
